Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression- My Account- Roles,Chrome 68.0.3440.106,,2018-09-14 17:47:22,2018-09-14 17:49:16,1m - 54.417s,ERROR
,,,,,,
Test Cases/1. Login_Logout/Login- Standard Admin,Chrome 68.0.3440.106,,2018-09-14 17:47:22,2018-09-14 17:47:35,12.719s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 68.0.3440.106,,2018-09-14 17:47:22,2018-09-14 17:47:22,0.017s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 68.0.3440.106,,2018-09-14 17:47:22,2018-09-14 17:47:22,0.002s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-14 17:47:22,2018-09-14 17:47:29,6.330s,PASSED
"Statement - log.logWarning(""URL in Use: "" + baseURL)",Chrome 68.0.3440.106,,2018-09-14 17:47:29,2018-09-14 17:47:29,0.001s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-14 17:47:29,2018-09-14 17:47:29,0.173s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-14 17:47:29,2018-09-14 17:47:30,1.022s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-14 17:47:30,2018-09-14 17:47:30,0.289s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 17:47:30,2018-09-14 17:47:30,0.118s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-14 17:47:30,2018-09-14 17:47:32,2.004s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-14 17:47:32,2018-09-14 17:47:32,0.158s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 17:47:32,2018-09-14 17:47:32,0.102s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-14 17:47:32,2018-09-14 17:47:34,2.002s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyTextNotPresent(""Sign in to Continue"", false, OPTIONAL))",Chrome 68.0.3440.106,,2018-09-14 17:47:34,2018-09-14 17:47:35,0.422s,PASSED
Start listener action : sampleAfterTestCase,Chrome 68.0.3440.106,,2018-09-14 17:47:35,2018-09-14 17:47:35,0.003s,PASSED
,,,,,,
Test Cases/Merchandising_My Account/_Roles Master/Navigate to Roles Master,Chrome 68.0.3440.106,,2018-09-14 17:47:35,2018-09-14 17:47:45,9.616s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 68.0.3440.106,,2018-09-14 17:47:35,2018-09-14 17:47:35,0.002s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 68.0.3440.106,,2018-09-14 17:47:35,2018-09-14 17:47:35,0.001s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-14 17:47:35,2018-09-14 17:47:37,2.002s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 17:47:37,2018-09-14 17:47:37,0.163s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-14 17:47:37,2018-09-14 17:47:39,2.002s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 17:47:39,2018-09-14 17:47:39,0.002s,NOT_RUN
delay,Chrome 68.0.3440.106,,2018-09-14 17:47:39,2018-09-14 17:47:41,2.002s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 17:47:41,2018-09-14 17:47:41,0.128s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-14 17:47:41,2018-09-14 17:47:43,2.002s,PASSED
"Statement - log.logWarning(""Navigating to Role Master"")",Chrome 68.0.3440.106,,2018-09-14 17:47:43,2018-09-14 17:47:43,0.002s,PASSED
Statement - pageText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Merchandising/_My Account/text- Roles Master)),Chrome 68.0.3440.106,,2018-09-14 17:47:43,2018-09-14 17:47:44,0.080s,PASSED
"Statement - If (pageText.contains(""roles""))",Chrome 68.0.3440.106,,2018-09-14 17:47:44,2018-09-14 17:47:44,0.002s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-14 17:47:44,2018-09-14 17:47:45,1.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 68.0.3440.106,,2018-09-14 17:47:45,2018-09-14 17:47:45,0.005s,PASSED
,,,,,,
Test Cases/Merchandising_My Account/_Roles Master/Verify- Bulk Action De-Activate,Chrome 68.0.3440.106,,2018-09-14 17:47:45,2018-09-14 17:47:58,13.941s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 68.0.3440.106,,2018-09-14 17:47:45,2018-09-14 17:47:45,0.003s,PASSED
