Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression- My Account- Roles,Chrome 68.0.3440.106,,2018-09-13 16:44:04,2018-09-13 16:45:17,1m - 13.431s,ERROR
,,,,,,
Test Cases/1. Login_Logout/Login- Standard Admin,Chrome 68.0.3440.106,,2018-09-13 16:44:04,2018-09-13 16:44:17,13.299s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 68.0.3440.106,,2018-09-13 16:44:04,2018-09-13 16:44:04,0.018s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 68.0.3440.106,,2018-09-13 16:44:04,2018-09-13 16:44:04,0.001s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-13 16:44:04,2018-09-13 16:44:09,5.218s,PASSED
"Statement - log.logWarning(""URL in Use: "" + baseURL)",Chrome 68.0.3440.106,,2018-09-13 16:44:09,2018-09-13 16:44:09,0.002s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-13 16:44:09,2018-09-13 16:44:10,0.133s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-13 16:44:10,2018-09-13 16:44:11,1.019s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-13 16:44:11,2018-09-13 16:44:11,0.310s,PASSED
click,Chrome 68.0.3440.106,,2018-09-13 16:44:11,2018-09-13 16:44:11,0.096s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-13 16:44:11,2018-09-13 16:44:13,2.002s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-13 16:44:13,2018-09-13 16:44:13,0.112s,PASSED
click,Chrome 68.0.3440.106,,2018-09-13 16:44:13,2018-09-13 16:44:13,0.096s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-13 16:44:13,2018-09-13 16:44:16,3.002s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyTextNotPresent(""Sign in to Continue"", false, OPTIONAL))",Chrome 68.0.3440.106,,2018-09-13 16:44:16,2018-09-13 16:44:17,1.207s,PASSED
