Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression- Landing Page,Chrome 68.0.3440.106,,2018-09-13 16:18:53,2018-09-13 16:19:32,38.406s,PASSED
,,,,,,
Test Cases/1. Login_Logout/Login- Standard Admin,Chrome 68.0.3440.106,,2018-09-13 16:18:53,2018-09-13 16:19:06,12.678s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 68.0.3440.106,,2018-09-13 16:18:54,2018-09-13 16:18:54,0.018s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 68.0.3440.106,,2018-09-13 16:18:54,2018-09-13 16:18:54,0.001s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-13 16:18:54,2018-09-13 16:18:58,4.900s,PASSED
"Statement - log.logWarning(""URL in Use: "" + baseURL)",Chrome 68.0.3440.106,,2018-09-13 16:18:58,2018-09-13 16:18:58,0.001s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-13 16:18:58,2018-09-13 16:18:59,0.142s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-13 16:18:59,2018-09-13 16:19:00,1.017s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-13 16:19:00,2018-09-13 16:19:00,0.282s,PASSED
click,Chrome 68.0.3440.106,,2018-09-13 16:19:00,2018-09-13 16:19:00,0.128s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-13 16:19:00,2018-09-13 16:19:02,2.003s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-13 16:19:02,2018-09-13 16:19:02,0.148s,PASSED
click,Chrome 68.0.3440.106,,2018-09-13 16:19:02,2018-09-13 16:19:02,0.090s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-13 16:19:02,2018-09-13 16:19:05,3.028s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyTextNotPresent(""Sign in to Continue"", false, OPTIONAL))",Chrome 68.0.3440.106,,2018-09-13 16:19:05,2018-09-13 16:19:06,0.842s,PASSED
Start listener action : sampleAfterTestCase,Chrome 68.0.3440.106,,2018-09-13 16:19:06,2018-09-13 16:19:06,0.002s,PASSED
,,,,,,
Test Cases/2. Landing Page/Verify- Available Screens,Chrome 68.0.3440.106,,2018-09-13 16:19:06,2018-09-13 16:19:11,4.415s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 68.0.3440.106,,2018-09-13 16:19:06,2018-09-13 16:19:06,0.002s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 68.0.3440.106,,2018-09-13 16:19:06,2018-09-13 16:19:06,0.001s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-13 16:19:06,2018-09-13 16:19:10,4.001s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 68.0.3440.106,,2018-09-13 16:19:10,2018-09-13 16:19:10,0.009s,PASSED
"Statement - Pages = driver.findElement(org.openqa.selenium.By.xpath(""//*/div/nav/ul""))",Chrome 68.0.3440.106,To locate screen section on merchandising page,2018-09-13 16:19:10,2018-09-13 16:19:10,0.031s,PASSED
"Statement - screens = Pages.findElements(org.openqa.selenium.By.xpath(""//*/div/nav/ul/li/a/span""))",Chrome 68.0.3440.106,Locate all screens available in merchandising page,2018-09-13 16:19:10,2018-09-13 16:19:10,0.022s,PASSED
Statement - TotalScreens = screens.size(),Chrome 68.0.3440.106,,2018-09-13 16:19:10,2018-09-13 16:19:10,0.001s,PASSED
"Statement - log.logWarning(""Screen Options Available ="" + TotalScreens)",Chrome 68.0.3440.106,,2018-09-13 16:19:10,2018-09-13 16:19:10,0.001s,PASSED
"Statement - For ([i = 0, i < screens.size(), (i++)])",Chrome 68.0.3440.106,,2018-09-13 16:19:10,2018-09-13 16:19:11,0.261s,PASSED
Start listener action : sampleAfterTestCase,Chrome 68.0.3440.106,,2018-09-13 16:19:11,2018-09-13 16:19:11,0.002s,PASSED
,,,,,,
Test Cases/2. Landing Page/Verify- Navigate My Accounts,Chrome 68.0.3440.106,,2018-09-13 16:19:11,2018-09-13 16:19:15,4.323s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 68.0.3440.106,,2018-09-13 16:19:11,2018-09-13 16:19:11,0.002s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 68.0.3440.106,,2018-09-13 16:19:11,2018-09-13 16:19:11,0.000s,PASSED
click,Chrome 68.0.3440.106,,2018-09-13 16:19:11,2018-09-13 16:19:11,0.091s,PASSED
