Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression- My Account- Roles,Chrome 68.0.3440.106,,2018-09-13 16:51:28,2018-09-13 16:52:40,1m - 11.636s,ERROR
,,,,,,
Test Cases/1. Login_Logout/Login- Standard Admin,Chrome 68.0.3440.106,,2018-09-13 16:51:28,2018-09-13 16:51:39,11.350s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 68.0.3440.106,,2018-09-13 16:51:28,2018-09-13 16:51:28,0.018s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 68.0.3440.106,,2018-09-13 16:51:28,2018-09-13 16:51:28,0.004s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-13 16:51:28,2018-09-13 16:51:33,5.016s,PASSED
"Statement - log.logWarning(""URL in Use: "" + baseURL)",Chrome 68.0.3440.106,,2018-09-13 16:51:33,2018-09-13 16:51:33,0.001s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-13 16:51:33,2018-09-13 16:51:33,0.133s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-13 16:51:33,2018-09-13 16:51:34,1.021s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-13 16:51:34,2018-09-13 16:51:35,0.300s,PASSED
click,Chrome 68.0.3440.106,,2018-09-13 16:51:35,2018-09-13 16:51:35,0.097s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-13 16:51:35,2018-09-13 16:51:37,2.002s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-13 16:51:37,2018-09-13 16:51:37,0.137s,PASSED
click,Chrome 68.0.3440.106,,2018-09-13 16:51:37,2018-09-13 16:51:37,0.086s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-13 16:51:37,2018-09-13 16:51:39,2.003s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyTextNotPresent(""Sign in to Continue"", false, OPTIONAL))",Chrome 68.0.3440.106,,2018-09-13 16:51:39,2018-09-13 16:51:39,0.450s,PASSED
Start listener action : sampleAfterTestCase,Chrome 68.0.3440.106,,2018-09-13 16:51:39,2018-09-13 16:51:39,0.003s,PASSED
,,,,,,
Test Cases/Merchandising_My Account/_Roles/Navigate to Roles Master,Chrome 68.0.3440.106,,2018-09-13 16:51:39,2018-09-13 16:51:46,6.475s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 68.0.3440.106,,2018-09-13 16:51:39,2018-09-13 16:51:40,0.002s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 68.0.3440.106,,2018-09-13 16:51:40,2018-09-13 16:51:40,0.001s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-13 16:51:40,2018-09-13 16:51:41,1.003s,PASSED
click,Chrome 68.0.3440.106,,2018-09-13 16:51:41,2018-09-13 16:51:41,0.137s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-13 16:51:41,2018-09-13 16:51:43,2.002s,PASSED
click,Chrome 68.0.3440.106,,2018-09-13 16:51:43,2018-09-13 16:51:43,0.092s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-13 16:51:43,2018-09-13 16:51:45,2.002s,PASSED
"Statement - log.logWarning(""Navigating to Role Master"")",Chrome 68.0.3440.106,,2018-09-13 16:51:45,2018-09-13 16:51:45,0.002s,PASSED
Statement - pageText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Merchandising/_My Account/text- Roles Master)),Chrome 68.0.3440.106,,2018-09-13 16:51:45,2018-09-13 16:51:45,0.063s,PASSED
"Statement - If (pageText.contains(""roles""))",Chrome 68.0.3440.106,,2018-09-13 16:51:45,2018-09-13 16:51:45,0.002s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-13 16:51:45,2018-09-13 16:51:46,1.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 68.0.3440.106,,2018-09-13 16:51:46,2018-09-13 16:51:46,0.004s,PASSED
,,,,,,
Test Cases/Merchandising_My Account/_Roles/Verify- Bulk Action De-Activate,Chrome 68.0.3440.106,,2018-09-13 16:51:46,2018-09-13 16:51:57,11.100s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 68.0.3440.106,,2018-09-13 16:51:46,2018-09-13 16:51:46,0.002s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 68.0.3440.106,,2018-09-13 16:51:46,2018-09-13 16:51:46,0.001s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-13 16:51:46,2018-09-13 16:51:48,2.002s,PASSED
click,Chrome 68.0.3440.106,,2018-09-13 16:51:48,2018-09-13 16:51:48,0.118s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-13 16:51:48,2018-09-13 16:51:50,2.002s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 68.0.3440.106,,2018-09-13 16:51:50,2018-09-13 16:51:50,0.011s,PASSED
